,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,1,3,5,5,1,1,5,5,1,1,3,3,5,5,1,3,3,3,5,5,1,1,1,1,5,5,5,5,2,0,0,0,0,0,0,0,0,0,2,0,0,10,0,6,0,7680,
B,2,2,2,2,5,5,2,3,5,5,0,2,2,2,5,5,3,3,5,5,5,3,3,3,3,3,5,5,12,0,0,0,0,0,0,0,0,0,3,9,1,0,8,8,0,8160,
C,1,1,1,3,3,5,5,1,3,3,5,5,5,5,5,0,1,1,3,5,5,3,3,5,5,1,1,1,9,0,0,0,0,0,0,0,0,0,9,0,1,9,0,7,0,8160,
D,2,2,1,4,5,5,2,2,1,2,5,5,5,5,2,3,3,4,5,5,5,5,5,2,1,2,2,3,12,0,0,0,0,0,0,0,0,0,12,0,0,3,9,3,2,8400,
E,5,0,3,5,5,4,4,5,5,3,3,3,5,5,5,5,3,3,4,5,5,5,3,3,3,4,4,5,5,0,0,0,0,0,0,0,0,0,1,4,1,0,0,9,5,7800,
F,1,3,5,5,5,5,5,1,1,4,5,5,1,1,1,3,3,5,5,1,3,5,5,4,4,4,5,5,12,0,0,0,0,0,0,0,0,0,12,0,0,7,0,4,4,7680,
G,2,5,5,2,2,2,5,5,2,2,4,5,5,5,3,3,3,3,5,5,5,3,4,5,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,7560,
H,2,1,1,1,5,5,5,2,2,1,5,5,5,5,5,1,1,1,5,5,2,1,1,1,2,5,5,1,2,0,0,0,0,0,0,0,0,0,2,0,0,11,5,0,0,7680,
I,4,4,5,5,1,4,5,5,1,1,1,4,5,5,5,1,1,1,5,5,5,5,5,5,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,7800,
J,5,5,1,1,1,4,5,5,3,3,3,3,5,5,1,1,4,5,5,1,4,4,5,5,1,1,5,5,12,0,0,0,0,0,0,0,0,0,12,0,0,8,0,4,4,8160,
K,1,1,1,5,5,5,5,1,1,5,5,1,1,1,5,5,4,4,5,5,5,5,1,1,1,4,4,5,9,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,4,7680,
L,2,3,5,5,2,3,5,5,5,5,2,2,3,5,5,1,2,3,4,5,5,2,2,2,3,3,5,5,8,0,0,0,0,0,0,0,0,0,8,0,0,1,8,6,1,7800,
M,5,1,3,5,5,1,1,3,5,5,1,3,3,3,5,5,1,1,1,5,5,5,1,3,3,3,5,5,9,0,0,0,0,0,0,0,0,0,9,0,0,8,0,8,0,7680,
N,3,3,3,3,5,5,3,3,3,3,5,5,5,5,3,3,5,5,3,3,3,3,5,5,3,3,5,5,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0,7680,
O,5,2,2,3,3,5,5,5,5,3,3,3,5,5,2,3,5,5,5,2,2,2,2,2,5,5,2,3,12,0,0,0,0,0,0,0,0,0,6,6,0,0,9,7,0,7680,
P,3,5,5,1,3,5,5,2,2,1,5,5,3,3,5,5,2,3,3,5,5,1,4,5,5,2,1,1,8,0,0,0,0,0,0,0,0,0,8,0,0,5,4,6,1,7800,
Q,3,3,5,5,2,1,1,2,5,5,1,3,5,5,5,2,2,1,2,5,5,5,1,3,5,5,2,3,10,0,0,0,0,0,0,0,0,0,10,0,0,5,6,5,0,7680,
R,1,2,2,4,5,5,5,1,4,5,5,1,2,1,4,5,5,2,2,5,5,1,2,2,5,5,5,2,18,0,0,0,0,0,0,0,0,0,18,0,0,5,8,0,3,8040,
S,2,1,2,5,5,5,5,3,3,5,5,5,5,5,2,1,5,5,2,4,4,5,5,2,2,2,3,4,7,0,0,0,0,0,0,0,0,0,5,2,0,2,7,3,3,7560,
T,5,2,3,3,3,5,5,5,5,5,2,2,3,3,3,5,5,2,3,5,5,5,2,2,2,3,3,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,7,9,0,7680,
U,3,5,5,2,3,3,3,5,5,2,2,2,2,2,5,5,3,3,3,5,5,5,5,3,3,3,5,5,15,0,0,0,0,0,0,0,0,0,15,0,0,0,6,10,0,7680,
V,3,4,5,5,2,3,3,3,5,5,2,1,5,5,1,2,2,2,5,5,5,1,3,5,5,2,4,5,6,0,0,0,0,0,0,0,0,0,6,0,0,3,6,5,2,7920,
W,1,1,2,4,4,5,5,1,2,1,1,5,5,5,2,1,2,5,5,5,2,2,1,5,5,5,5,2,6,0,0,0,0,0,0,0,0,0,6,0,0,7,7,0,2,7920,
X,5,0,1,1,1,5,5,0,0,0,0,1,5,5,5,5,1,1,5,5,0,0,5,5,0,0,0,5,10,0,0,0,0,0,0,0,0,0,10,0,10,6,0,0,0,7680,
Y,1,1,5,5,1,3,5,5,3,3,3,3,5,5,2,3,5,5,0,0,3,3,5,5,2,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,9,0,7680,
Z,2,5,5,5,1,1,2,2,5,5,1,2,5,5,5,0,0,2,2,5,5,2,3,5,5,2,3,3,4,0,0,0,0,0,0,0,0,0,4,0,2,3,8,3,0,7680,
AA,3,3,3,3,3,5,5,5,5,1,1,1,1,3,5,5,1,1,3,5,5,5,5,1,3,5,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,8,0,7680,
AB,5,2,1,2,2,5,5,0,4,4,5,5,5,5,1,2,2,2,2,5,5,5,2,1,5,5,5,4,1,0,0,0,0,0,0,0,0,0,1,0,1,3,8,0,3,7560,
AC,5,5,3,3,5,5,5,5,1,1,3,4,5,5,3,4,5,5,1,1,3,3,4,5,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,7560,
AD,5,0,0,3,5,5,3,3,5,5,2,3,5,5,2,2,2,2,3,5,5,3,3,5,5,2,2,2,11,0,0,0,0,0,0,0,0,0,8,3,2,0,8,7,0,8160,
AE,3,5,5,1,3,5,5,5,2,1,5,5,2,2,5,5,3,3,3,5,5,2,2,2,2,5,5,1,4,0,0,0,0,0,0,0,0,0,4,0,0,3,7,5,0,7200,
AF,5,0,0,0,0,2,5,5,0,2,5,5,3,3,3,3,5,5,5,5,5,2,3,3,3,5,5,5,6,0,0,0,0,0,0,0,0,0,6,0,5,0,3,7,0,7200,
AG,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,5,5,5,0,0,0,5,5,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,7200,
AH,0,3,5,5,3,3,3,3,5,5,5,3,3,3,3,5,5,2,3,5,5,3,3,3,5,5,5,5,9,0,0,0,0,0,0,0,0,0,9,0,1,0,1,13,0,7200,
AI,5,4,4,5,5,0,0,0,0,5,5,3,4,4,5,5,0,4,5,5,5,5,5,0,0,1,5,5,10,0,0,0,0,0,0,0,0,0,10,0,7,1,0,1,5,7320,
AJ,5,5,1,2,2,3,3,5,5,0,4,4,5,5,5,5,5,5,0,2,1,4,5,5,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,4,7200,
AK,0,5,5,0,0,0,5,5,0,0,0,0,5,5,1,2,1,1,5,5,5,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,12,3,1,0,0,7680,
AL,5,1,4,5,5,5,5,4,4,5,5,1,2,1,3,5,5,3,3,5,5,3,4,5,5,2,1,1,4,0,0,0,0,0,0,0,0,0,4,0,0,5,2,4,4,7680,
AM,5,0,0,0,0,5,5,4,4,5,5,5,5,5,0,0,4,5,5,0,0,5,5,0,0,4,5,5,6,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,4,7200,
AN,1,5,5,0,0,5,5,5,0,0,5,5,3,3,5,5,0,0,1,5,5,0,0,0,5,5,3,3,5,0,0,0,0,0,0,0,0,0,5,0,9,2,0,4,0,7200,
人数違反,406,6,203,104,105,800,1501,301,301,206,202,507,800,1200,701,403,606,510,703,1400,1300,303,403,102,204,506,1002,902,
Eの勤務人数,3,6,4,5,5,2,1,3,5,4,3,2,1,1,2,3,3,1,3,3,3,3,2,5,6,2,1,0,
d1の勤務人数,8,8,8,5,6,4,2,5,6,8,6,6,3,4,6,6,7,8,3,3,2,5,6,5,4,5,5,6,
d2の勤務人数,7,6,5,5,6,2,3,5,5,4,5,5,5,3,6,5,7,7,5,2,3,6,6,7,5,7,4,3,
Lの勤務人数,7,7,6,7,8,6,6,7,5,6,6,10,7,7,7,8,8,9,10,1,4,9,8,7,8,8,4,5,
Nの勤務人数,1,3,2,3,1,3,1,2,4,2,2,3,1,1,1,1,3,3,2,1,2,2,4,1,1,5,4,3,
Eの必要人数,7,5,6,6,6,7,6,6,8,6,5,7,5,7,8,7,9,6,7,6,7,6,6,4,8,7,7,7,
d1の必要人数,3,5,5,4,5,5,6,5,5,5,5,5,5,5,6,5,4,5,6,5,5,5,6,5,3,5,6,6,
d2の必要人数,6,6,5,3,4,4,7,5,5,3,5,5,5,7,5,5,5,5,5,5,6,6,6,7,3,5,4,4,
Lの必要人数,7,6,6,7,6,6,5,6,5,5,6,6,7,8,7,6,7,6,7,5,7,7,6,6,7,7,7,6,
Nの必要人数,1,2,2,2,1,3,3,2,4,1,1,1,3,1,2,1,3,1,2,3,2,1,3,2,1,2,2,1,
