,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,3,3,5,5,5,3,3,5,5,3,3,3,5,5,1,3,3,3,5,5,1,1,1,1,3,5,5,5,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,11,0,7680,
B,2,3,3,5,5,0,2,2,2,5,5,5,0,0,5,5,0,2,2,5,5,5,2,2,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,7680,
C,5,5,3,3,3,5,5,3,3,3,5,5,0,0,0,0,0,5,5,5,5,0,3,5,5,0,0,1,4,0,0,0,0,0,0,0,0,0,4,0,8,1,0,7,0,7680,
D,5,5,5,5,4,4,4,4,4,5,5,5,5,5,1,2,2,2,3,5,5,5,5,2,2,1,1,3,5,0,0,0,0,0,0,0,0,0,5,0,0,3,5,2,5,7800,
E,3,4,5,5,0,4,5,5,3,3,3,3,5,5,5,0,0,0,4,5,5,5,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,3,8520,
F,3,4,5,5,5,5,5,4,4,4,5,5,1,1,1,1,1,5,5,1,3,5,5,3,3,3,5,5,6,0,0,0,0,0,0,0,0,0,6,0,0,6,0,5,4,7680,
G,5,5,5,2,2,2,2,5,5,2,4,5,5,5,0,2,2,3,3,5,5,3,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,1,7800,
H,2,2,2,1,5,5,5,1,2,5,5,5,5,5,2,1,1,5,5,2,1,1,2,1,5,5,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,7,9,0,0,7680,
I,5,0,4,5,5,1,4,5,5,0,1,1,5,5,0,0,1,1,1,5,5,5,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,2,8400,
J,3,3,5,5,1,4,5,5,1,1,1,3,5,5,4,4,4,5,5,1,1,5,5,1,1,4,5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,8,0,3,5,8280,
