,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,18,18,18,11,11,11,13,13,18,18,9,12,12,12,12,18,18,9,12,18,18,13,13,13,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,5,0,0,0,0,8280,
B,9,11,11,18,18,7,7,10,10,10,18,18,18,18,6,9,14,12,18,18,1,1,1,1,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,2,3,2,1,0,1,0,0,0,8400,
C,1,7,13,16,16,18,18,15,15,18,18,0,0,0,11,18,18,2,0,18,18,1,1,7,18,18,18,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,0,2,0,0,0,1,0,1,0,2,2,0,8640,
D,3,7,7,18,18,7,9,13,18,18,2,6,18,18,13,13,13,13,12,18,18,18,18,7,12,18,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,1,0,0,2,5,0,0,0,0,8640,
E,10,14,12,14,16,18,18,5,17,18,18,18,18,18,11,16,18,18,5,9,15,15,18,18,18,18,9,10,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,2,2,2,1,8640,
F,5,17,16,18,18,14,11,14,11,18,18,2,1,9,18,18,6,11,12,18,18,18,18,4,13,18,18,18,7,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,1,1,1,0,0,1,0,3,1,1,2,0,1,1,8640,
G,15,18,18,2,17,18,18,1,1,5,4,18,18,0,11,11,11,11,18,18,18,18,11,16,15,18,18,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,0,0,0,0,0,5,0,0,0,2,1,1,8280,
H,6,18,18,18,9,10,10,18,18,18,3,3,9,13,12,18,18,10,14,18,18,14,10,10,13,18,18,18,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,1,0,0,2,5,0,1,2,2,0,0,0,8640,
I,18,18,5,6,5,5,5,18,18,6,14,11,18,18,18,1,0,15,15,18,18,4,11,10,18,18,12,11,4,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,4,2,0,0,0,1,3,1,0,1,2,0,0,8640,
J,14,12,14,12,14,18,18,18,18,18,12,11,11,11,11,18,18,0,2,18,18,18,18,18,2,5,14,12,4,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,0,4,4,0,4,0,0,0,8640,
K,11,14,18,18,13,13,13,16,18,18,2,5,18,18,6,10,14,15,18,18,18,18,18,18,10,10,10,10,6,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,1,0,0,0,5,1,0,3,2,1,1,0,8640,
L,6,5,5,4,18,18,1,2,18,18,8,8,18,18,18,18,0,2,6,18,18,6,6,13,18,18,3,8,8,0,0,0,0,0,0,0,0,0,8,0,1,1,2,1,1,2,4,0,3,0,0,0,0,1,0,0,0,0,8520,
M,18,1,2,1,18,18,18,1,0,0,9,11,18,18,1,6,18,18,18,2,6,18,18,1,5,8,5,6,1,0,0,0,0,0,0,0,0,0,1,0,2,5,2,0,0,2,3,0,1,1,0,1,0,0,0,0,0,0,8520,
N,6,6,17,18,18,4,12,12,18,18,2,2,10,10,18,18,0,15,15,18,18,18,0,2,1,1,18,18,1,0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,1,0,2,0,0,0,2,0,2,0,0,2,0,1,8640,
O,2,9,14,18,18,6,9,16,18,18,18,18,0,9,18,18,6,12,16,18,18,18,0,0,6,6,18,18,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,4,0,0,3,0,0,1,0,1,0,2,0,8400,
P,18,18,14,11,11,14,12,18,18,7,7,4,18,18,3,1,6,15,18,18,18,3,2,18,18,18,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,2,0,0,0,2,1,0,2,3,0,0,8640,
Q,13,16,16,18,18,18,18,3,12,17,18,18,7,6,6,12,18,18,1,7,6,18,18,1,11,17,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,2,0,0,0,1,2,1,0,0,2,2,8640,
R,12,17,15,17,18,18,18,18,18,18,12,13,15,16,18,18,11,12,12,18,18,1,13,11,18,18,16,15,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,4,2,0,3,2,2,8640,
S,18,18,2,12,12,12,12,18,18,2,16,18,18,1,7,15,16,18,18,18,18,14,12,13,14,18,18,18,6,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,1,0,0,0,0,5,1,2,1,2,0,8040,
T,17,18,18,0,16,16,15,18,18,14,12,14,18,18,18,7,7,10,12,18,18,18,18,18,1,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,0,2,0,0,1,0,2,0,2,1,2,1,8640,
U,18,18,2,2,4,18,18,7,14,18,18,1,4,16,18,18,18,2,2,4,13,18,18,2,1,4,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,4,0,0,1,0,0,0,0,0,1,1,0,1,0,8640,
V,16,16,18,18,18,6,6,6,6,6,18,18,18,18,13,13,13,13,17,18,18,18,2,5,18,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5,0,0,0,0,0,0,4,0,0,2,1,8640,
W,18,18,18,7,7,18,18,18,6,8,6,6,18,18,7,14,18,18,5,14,12,14,18,18,0,0,7,7,5,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,3,5,1,0,0,0,1,0,3,0,0,0,8520,
X,18,9,14,12,18,18,18,12,12,18,18,3,3,3,1,13,18,18,2,8,8,5,9,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,2,2,0,0,3,1,1,0,0,0,8640,
