,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,18,18,7,6,11,11,13,18,18,0,4,12,18,18,12,12,11,12,18,18,18,11,13,18,18,18,7,8,7,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,1,2,1,0,0,4,4,2,0,0,0,0,8280,
B,12,11,12,10,12,18,18,10,10,10,18,18,10,14,10,11,18,18,18,18,1,1,1,1,9,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,6,2,3,0,1,0,0,0,8640,
C,18,18,3,3,4,18,18,3,3,18,18,18,18,18,11,16,15,18,18,1,1,17,18,18,1,11,15,16,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,1,0,0,0,0,0,0,2,0,0,0,2,2,1,8400,
D,18,18,18,9,13,12,13,13,18,18,7,8,18,18,18,13,13,12,12,13,18,18,18,18,13,14,18,18,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,1,0,0,3,7,1,0,0,0,8160,
E,10,10,14,18,18,7,7,10,11,18,18,18,18,18,2,11,18,18,9,10,15,16,18,18,12,16,18,18,13,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,2,0,1,4,2,1,0,1,1,2,0,7920,
F,9,17,18,18,18,14,12,14,17,18,18,6,5,9,16,16,18,18,18,18,18,18,18,1,12,12,18,18,7,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,1,0,0,2,0,0,3,0,2,0,2,2,8400,
G,4,18,18,2,2,1,2,18,18,0,7,18,18,1,11,18,18,11,11,18,18,5,15,15,16,16,18,18,8,0,0,0,0,0,0,0,0,0,8,0,1,2,3,0,1,1,0,1,0,0,0,3,0,0,0,2,2,0,8160,
H,2,4,18,18,9,10,13,18,18,4,12,18,18,2,6,14,18,18,18,18,18,2,2,2,9,10,18,18,8,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,2,0,1,0,0,2,2,0,1,1,1,0,0,0,8520,
I,1,1,5,6,5,18,18,11,14,10,18,18,11,12,18,18,18,18,18,18,18,0,4,11,18,18,4,14,6,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,2,2,1,0,0,0,1,3,1,0,2,0,0,0,8160,
J,14,12,14,12,14,18,18,6,12,12,14,11,18,18,18,18,18,18,2,5,6,6,18,18,18,18,0,0,10,0,0,0,0,0,0,0,0,0,10,0,2,0,1,0,0,1,3,0,0,0,0,1,4,0,4,0,0,0,8640,
K,7,10,18,18,18,18,18,5,5,7,16,15,18,18,13,11,18,18,2,7,6,5,5,18,18,10,10,10,8,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,4,1,3,0,0,4,1,0,1,0,1,1,0,8400,
L,18,5,5,7,18,18,2,2,18,18,2,3,0,0,18,18,8,5,6,18,18,6,6,7,15,15,18,18,9,0,0,0,0,0,0,0,0,0,9,0,2,0,3,1,0,3,3,2,1,0,0,0,0,0,0,2,0,0,8400,
M,4,18,18,2,1,18,18,0,0,0,11,13,18,18,1,9,18,18,2,1,5,13,18,18,18,18,5,9,1,0,0,0,0,0,0,0,0,0,1,0,3,3,2,0,1,2,0,0,0,2,0,1,0,2,0,0,0,0,8640,
N,7,16,18,18,6,7,4,15,18,18,13,16,18,18,18,0,0,8,6,18,18,18,18,18,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,1,0,2,2,1,0,0,0,0,1,0,1,2,0,8400,
O,18,18,2,4,13,18,18,0,8,8,18,18,18,18,3,16,18,18,0,3,0,3,13,18,18,18,3,5,2,0,0,0,0,0,0,0,0,0,2,0,3,0,1,4,1,1,0,0,2,0,0,0,0,2,0,0,1,0,8520,
P,15,18,18,11,11,18,18,1,11,18,18,3,3,3,18,18,9,11,15,18,18,9,10,12,18,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,2,1,4,1,0,0,2,0,0,8640,
Q,18,0,13,13,10,18,18,18,7,4,18,18,18,18,6,7,7,18,18,0,7,7,7,12,18,18,12,17,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,6,0,0,1,0,2,2,0,0,0,1,8400,
R,18,18,4,17,15,16,16,18,18,18,18,3,8,5,12,18,18,12,12,18,18,14,12,11,15,18,18,18,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,0,1,0,0,1,4,0,1,2,2,1,8400,
