,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,1,2,2,2,6,6,1,2,2,5,6,6,6,6,1,2,2,6,6,1,2,6,6,1,5,6,6,1,5,6,6,1,2,6,6,1,2,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,6,0,0,8,10,0,0,3,12720,
B,2,0,6,6,6,0,2,2,0,2,6,6,6,6,0,4,4,4,6,6,6,2,2,2,4,6,6,6,6,6,2,0,2,0,0,6,6,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,3,0,10,0,11,0,4,0,12480,
C,2,0,0,4,4,6,6,6,0,4,6,6,2,2,2,6,6,0,2,0,5,6,6,5,4,6,6,0,0,0,5,6,6,6,6,2,2,2,6,6,6,6,4,0,0,0,0,0,0,0,0,0,4,0,8,0,8,0,4,3,12240,
D,0,2,2,0,1,6,6,6,6,1,0,1,0,1,6,6,0,1,0,0,2,6,6,0,0,0,6,6,6,6,6,6,6,1,5,6,6,2,5,6,6,6,5,0,0,0,0,0,0,0,0,0,5,0,10,6,4,0,0,2,12480,
E,0,2,2,2,2,6,6,2,0,5,6,6,2,0,0,0,0,6,6,5,4,4,6,6,2,2,2,4,4,6,6,6,6,6,6,6,2,5,6,6,6,6,3,0,0,0,0,0,0,0,0,0,3,0,6,0,10,0,4,3,12240,
F,3,3,6,6,2,2,2,2,6,6,6,6,6,6,2,2,2,2,2,6,6,3,3,3,3,3,6,6,2,2,2,2,6,6,3,3,6,6,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,12480,
G,0,1,0,6,6,1,0,2,0,1,6,6,3,3,3,3,3,6,6,6,1,0,1,3,6,6,6,6,6,2,2,2,2,6,6,6,6,6,2,2,6,6,3,0,0,0,0,0,0,0,0,0,3,0,5,5,7,6,0,0,12240,
H,2,0,0,0,0,6,6,6,6,0,0,0,2,0,6,6,2,2,2,2,0,6,6,2,4,4,6,6,6,6,6,0,0,0,0,4,6,6,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,1,15,0,7,0,3,0,12360,
I,1,0,1,6,6,0,1,0,1,3,6,6,4,4,6,6,6,0,1,6,6,6,1,0,0,6,6,3,4,6,6,6,6,6,6,1,2,2,0,4,6,6,6,0,0,0,0,0,0,0,0,0,6,0,7,7,2,2,4,0,12720,
J,3,5,6,6,0,3,3,3,6,6,2,2,2,2,2,6,6,5,4,4,4,6,6,6,3,3,6,6,3,3,3,3,5,6,6,6,6,6,3,4,6,6,3,0,0,0,0,0,0,0,0,0,0,3,1,0,5,11,4,3,12720,
