,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,1,2,2,2,6,6,1,2,2,5,6,6,6,6,1,2,2,6,6,1,2,6,6,1,5,6,6,1,5,6,6,1,2,6,6,1,2,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,6,0,0,8,10,0,0,3,12720,
B,0,0,6,6,6,2,0,0,0,2,6,6,6,6,2,4,4,4,6,6,6,2,0,0,4,6,6,6,6,6,0,0,2,0,0,6,6,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,3,0,13,0,8,0,4,0,12480,
C,2,0,0,4,4,6,6,6,0,0,6,6,2,2,2,4,6,6,0,2,5,6,6,5,4,6,6,0,0,0,5,6,6,6,6,6,2,2,0,6,6,6,4,0,0,0,0,0,0,0,0,0,4,0,9,0,7,0,4,3,12240,
D,1,2,2,0,0,6,6,6,6,1,0,1,0,1,6,6,1,0,2,0,1,6,6,0,0,0,6,6,6,6,6,6,6,0,5,6,6,6,1,5,6,6,5,0,0,0,0,0,0,0,0,0,5,0,10,7,3,0,0,2,12720,
E,0,2,2,2,2,6,6,2,0,5,6,6,2,0,0,0,0,6,6,5,4,4,6,6,2,2,2,4,4,6,6,6,6,6,6,6,2,5,6,6,6,6,3,0,0,0,0,0,0,0,0,0,3,0,6,0,10,0,4,3,12240,
F,3,3,6,6,2,2,2,2,6,6,6,6,6,6,2,2,2,2,2,6,6,3,3,3,3,3,6,6,3,3,3,3,6,6,3,3,6,6,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,10,16,0,0,12480,
G,0,1,0,6,6,1,0,1,0,1,6,6,1,3,3,3,3,6,6,6,0,0,1,3,3,6,6,6,6,2,2,2,2,6,6,6,6,6,0,0,6,6,3,0,0,0,0,0,0,0,0,0,3,0,8,6,4,6,0,0,12960,
H,2,0,0,4,4,6,6,6,6,0,0,0,2,0,6,6,2,2,2,2,2,6,6,2,2,4,6,6,6,6,6,2,0,0,0,4,6,6,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,1,11,0,10,0,4,0,12480,
I,2,0,1,6,6,1,0,3,3,4,6,6,3,3,6,6,0,1,4,6,6,6,1,0,6,6,1,2,4,6,6,6,6,6,6,1,0,2,0,4,6,6,7,0,0,0,0,0,0,0,0,0,7,0,6,6,3,4,4,0,12960,
J,2,2,6,6,3,3,3,5,6,6,2,2,2,2,2,6,6,5,4,4,4,6,6,6,0,3,6,6,6,6,0,0,5,4,6,6,6,6,0,0,6,6,1000,0,0,0,1,0,0,0,0,0,0,0,5,0,7,4,4,3,12240,
K,2,6,6,1,0,1,0,1,6,6,1,3,3,3,6,6,6,1,5,6,6,1,5,6,6,6,3,3,6,6,1,5,6,6,6,1,2,6,6,6,6,6,3,0,0,0,0,0,0,0,0,0,3,0,2,8,2,5,0,3,12240,
L,2,0,6,6,0,2,2,2,0,6,6,0,0,0,6,6,0,2,0,6,6,2,0,6,6,0,0,2,0,6,6,2,0,6,6,0,2,2,2,2,6,6,6,0,0,0,0,0,0,0,0,0,6,0,14,0,12,0,0,0,12480,
M,3,5,6,6,6,3,3,3,4,4,6,6,6,6,1,3,6,6,1,3,3,3,5,6,6,1,3,5,6,6,4,4,6,6,6,1,2,6,6,6,6,6,9,0,0,0,0,0,0,0,0,0,9,0,0,4,1,9,4,3,12240,
N,5,6,6,2,2,2,2,5,6,6,3,5,6,6,6,6,0,0,0,0,0,6,6,2,2,0,6,6,0,0,0,0,2,6,6,6,6,6,2,2,2,6,4,0,0,0,0,0,0,0,0,0,4,0,10,0,10,1,0,3,12240,
O,4,4,4,6,6,0,1,0,1,3,6,6,1,4,6,6,1,0,1,6,6,2,2,2,2,2,6,6,6,6,6,6,6,6,1,0,1,6,6,6,6,6,2,0,0,0,0,0,0,0,0,0,2,0,4,7,5,1,4,0,12240,
P,6,6,3,3,3,3,3,6,6,2,2,3,3,6,6,2,3,3,3,3,6,6,3,3,3,3,6,6,3,3,3,6,6,6,6,6,4,4,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,4,0,12480,
Q,0,1,2,0,1,6,6,0,1,5,6,6,1,0,6,6,0,1,5,6,6,6,6,1,5,6,6,6,6,6,6,2,2,2,0,6,6,6,6,6,1,2,8,0,0,0,0,0,0,0,0,0,8,0,6,7,5,0,0,3,12480,
R,0,6,6,0,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,2,0,2,0,0,6,6,6,6,0,2,0,5,6,6,6,2,5,6,6,0,2,5,6,0,0,0,0,0,0,0,0,0,6,0,16,0,5,0,0,3,12240,
S,6,6,1,2,2,2,2,6,6,6,6,0,0,1,6,6,0,0,1,6,6,1,0,4,6,6,6,6,1,4,6,6,1,4,4,6,6,0,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,0,4,0,12240,
T,1,6,6,6,6,1,2,3,6,6,0,5,6,6,0,1,5,6,6,2,2,6,6,1,0,1,6,6,6,1,2,6,6,1,5,6,6,0,1,6,6,6,13,0,0,0,0,0,0,0,0,0,13,0,4,8,4,1,0,3,12240,
U,0,0,1,0,0,6,6,6,6,3,5,6,6,0,3,3,5,6,6,3,3,3,3,3,6,6,1,0,1,5,6,6,6,6,6,6,6,0,1,6,6,6,1,0,0,0,0,0,0,0,0,0,1,0,7,4,0,8,0,3,12240,
V,3,3,3,5,4,6,6,2,3,3,4,4,6,6,6,6,6,3,3,3,3,3,6,6,5,4,6,6,3,5,6,6,6,2,2,2,2,6,6,6,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,11,4,3,12240,
W,1,3,3,5,6,6,1,3,3,6,6,3,3,3,6,6,3,3,3,6,6,1,3,5,6,6,1,3,5,6,6,6,6,6,6,6,1,3,3,6,6,6,10,0,0,0,0,0,0,0,0,0,10,0,0,5,0,14,0,3,12480,
X,3,3,3,3,5,6,6,1,5,6,6,1,5,6,6,6,1,2,2,3,6,6,4,4,6,6,6,6,2,2,6,6,6,4,4,6,6,1,3,6,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,4,4,6,4,3,12240,
Y,6,1,0,1,0,1,6,6,1,3,4,4,6,6,3,3,4,6,6,0,0,0,0,6,6,6,0,0,0,0,0,6,6,6,6,6,6,6,1,4,6,6,2,0,0,0,0,0,0,0,0,0,2,0,11,5,0,3,4,0,12720,
Z,0,0,0,0,3,6,6,6,0,3,6,6,6,3,3,3,3,3,6,6,6,3,3,3,3,3,6,6,2,2,6,6,6,3,3,3,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,17,0,0,12480,
AA,1,5,6,6,1,0,1,6,6,6,1,0,0,1,5,6,6,1,0,0,1,6,6,6,0,1,6,6,6,6,6,1,2,6,6,6,1,5,6,6,6,6,15,0,0,0,0,0,0,0,0,0,15,0,6,10,1,0,0,3,12720,
AB,2,2,2,2,2,6,6,2,2,2,2,2,6,6,2,2,2,2,2,6,6,2,2,2,6,6,2,2,2,2,6,6,6,2,2,2,2,6,6,6,6,6,3,0,0,0,0,0,0,0,0,0,0,3,0,0,26,0,0,0,12480,
AC,0,4,4,4,4,6,6,0,0,0,0,0,6,6,0,0,6,6,0,0,0,0,5,6,6,0,5,6,6,0,0,6,6,6,0,5,6,6,6,6,6,6,4,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,4,3,12240,
AD,2,2,2,2,2,6,6,2,2,2,5,6,6,2,2,2,2,5,6,6,6,6,6,2,2,5,6,6,6,2,2,2,2,2,6,6,6,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,12240,
AE,3,3,3,3,6,6,6,1,2,2,3,3,6,6,6,1,3,3,3,3,3,6,6,6,6,6,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,1,3,0,0,0,0,0,0,0,0,0,3,0,0,3,2,17,0,0,11280,
