,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,N,N,─,─,E,D,L,L,─,─,N,N,─,─,L,L,L,L,L,─,─,D,D,N,─,─,E,D,D,L,─,─,D,N,N,─,─,─,E,E,E,E,L,─,─,N,N,─,─,D,D,D,D,D,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
1,─,─,─,L,L,L,L,L,─,─,E,E,─,─,E,E,E,L,─,─,─,E,E,E,E,─,─,─,L,L,L,L,L,─,─,L,L,L,─,─,E,E,E,E,E,─,─,E,L,L,L,─,─,E,E,E,2,0,0,0,0,0,0,0,0,0,2,0,
2,E,D,D,─,─,E,E,E,─,─,D,D,─,─,─,D,D,D,D,─,─,N,N,N,N,N,─,─,D,D,─,─,D,D,D,D,N,─,─,N,N,N,N,─,─,E,E,D,D,─,─,D,D,D,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
3,E,E,E,E,E,─,─,L,L,L,─,─,E,E,─,─,D,D,─,─,─,E,E,E,E,E,─,─,D,D,D,L,L,─,─,─,─,─,─,E,D,D,L,L,─,─,E,D,D,─,─,D,D,D,D,D,0,0,0,0,0,0,0,0,0,0,0,0,
4,D,D,D,─,─,D,D,D,D,─,─,D,D,D,D,D,─,─,─,─,─,D,N,N,N,N,─,─,D,N,N,─,─,D,N,N,N,─,─,D,D,D,D,─,─,D,D,─,─,D,D,D,D,N,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
5,L,L,L,N,N,─,─,─,─,─,─,E,E,E,E,E,─,─,E,D,D,D,D,─,─,E,L,L,L,─,─,D,N,─,─,─,D,D,N,N,─,─,E,E,E,D,L,─,─,N,N,N,─,─,D,D,1,0,0,0,0,0,0,0,0,0,1,0,
6,E,E,E,─,─,E,E,N,─,─,E,E,L,L,─,─,─,L,L,─,─,L,L,L,L,L,─,─,L,N,N,N,N,─,─,N,N,N,N,N,─,─,─,─,─,─,E,E,E,E,E,─,─,E,L,L,0,0,0,0,0,0,0,0,0,0,0,0,
7,E,E,E,E,L,─,─,─,─,L,L,L,L,L,─,─,L,L,L,L,L,─,─,E,E,E,─,─,L,L,L,L,L,─,─,─,─,─,L,L,L,L,L,─,─,E,L,L,L,L,─,─,E,E,─,─,4,0,0,0,0,0,0,0,0,0,4,0,
8,E,─,─,E,E,E,E,D,─,─,D,D,D,D,D,─,─,D,D,─,─,─,─,E,E,E,D,D,─,─,D,D,D,─,─,E,E,E,E,─,─,─,D,D,D,D,D,─,─,─,─,E,E,E,E,E,1,0,0,0,0,0,0,0,0,0,1,0,
9,L,L,L,L,L,─,─,E,E,L,─,─,E,E,D,D,L,─,─,─,─,─,L,L,─,─,E,E,L,L,L,─,─,E,E,E,E,─,─,E,E,E,E,─,─,E,L,─,─,D,D,L,L,L,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
10,N,─,─,─,─,D,D,D,D,D,─,─,D,D,D,─,─,N,N,─,─,─,E,D,D,D,─,─,E,E,E,E,E,─,─,E,E,E,D,D,─,─,─,─,E,E,D,D,D,─,─,N,N,N,N,N,2,0,0,0,0,0,0,0,0,0,2,0,
11,E,L,L,─,─,L,L,L,L,N,─,─,E,E,L,N,─,─,E,L,N,─,─,E,N,N,─,─,─,─,─,L,L,─,─,E,L,L,L,L,─,─,N,N,N,N,N,─,─,L,L,L,─,─,L,L,1,0,0,0,0,0,0,0,0,0,1,0,
12,E,E,E,E,E,─,─,D,D,D,─,─,L,L,L,L,L,─,─,─,─,─,E,E,D,D,─,─,D,D,L,─,─,L,L,L,L,L,─,─,D,D,D,D,D,─,─,L,L,L,L,L,─,─,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
13,E,E,N,N,─,─,─,─,D,D,D,N,─,─,D,D,D,D,N,─,─,─,─,L,L,L,L,L,─,─,─,L,L,L,L,L,─,─,D,L,L,L,N,─,─,D,L,L,N,N,─,─,N,N,─,─,1,0,0,0,0,0,0,0,0,0,1,0,
14,N,N,─,─,─,─,─,E,E,E,E,E,─,─,E,E,E,E,E,─,─,N,N,N,─,─,E,E,E,E,E,─,─,E,E,E,E,E,─,─,E,E,N,N,N,─,─,─,─,E,E,E,─,─,E,E,2,0,0,0,0,0,0,0,0,0,2,0,
15,D,D,D,D,D,─,─,D,D,D,D,D,─,─,─,─,─,─,D,L,L,L,L,─,─,L,L,N,N,N,─,─,D,D,D,D,D,─,─,D,L,L,L,N,─,─,─,─,─,N,N,N,N,N,─,─,6,0,0,0,0,0,0,0,0,0,6,0,
16,L,─,─,E,E,─,─,─,E,L,L,L,─,─,N,N,N,─,─,E,E,E,E,L,─,─,E,E,E,E,E,─,─,E,L,L,N,─,─,L,L,N,N,─,─,L,L,─,─,E,E,N,N,N,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
