,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,3,3,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,1,1,2,2,2,3,3,1,1,2,2,2,3,3,2,2,2,2,2,3,3,1,2,2,2,3,3,2,10,0,0,0,0,0,0,0,0,0,10,0,0,9,43,24960,
B,0,0,0,0,0,3,3,2,2,3,3,2,2,2,2,3,3,0,0,0,2,2,3,3,0,0,2,2,2,3,3,0,2,3,3,0,0,2,3,3,3,3,2,2,3,3,0,0,3,3,0,0,0,0,3,3,3,0,2,2,3,3,3,0,2,2,2,2,3,3,2,2,2,3,3,0,2,2,2,2,3,3,0,0,6,0,0,0,0,0,0,0,0,0,6,0,24,0,28,24960,
C,0,0,0,0,0,3,3,1,1,1,1,2,3,3,0,0,3,3,0,0,0,0,3,3,1,1,3,3,0,0,1,2,3,3,1,2,2,2,2,3,3,0,2,2,3,3,0,0,0,1,3,3,2,2,2,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,0,1,2,2,2,3,3,0,2,3,3,2,2,2,4,0,0,0,0,0,0,0,0,0,4,0,24,10,18,24960,
D,1,1,3,3,0,0,0,0,3,3,0,0,0,0,1,3,3,3,3,3,3,3,3,0,0,0,1,1,3,3,0,0,0,3,3,1,1,1,1,1,3,3,0,0,0,1,1,3,3,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,3,0,1,1,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,18,0,38,14,0,24960,
E,2,3,3,1,1,2,2,2,3,3,1,1,1,1,3,3,2,2,2,3,3,1,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,3,3,1,1,2,2,3,3,1,1,1,2,2,3,3,3,2,2,2,2,2,3,3,3,1,2,2,3,3,1,1,1,1,1,3,3,3,3,3,1,2,2,2,2,3,0,0,0,0,0,0,0,0,0,3,0,0,19,33,24960,
F,2,2,2,2,2,3,3,1,1,2,2,2,3,3,2,2,2,3,3,1,1,2,2,2,3,3,1,2,2,2,3,3,1,2,2,2,2,3,3,3,3,3,1,1,1,3,3,1,2,2,2,3,3,2,2,2,2,2,3,3,3,2,2,2,2,3,3,3,3,3,1,1,1,1,1,3,3,2,2,2,2,3,3,3,7,0,0,0,0,0,0,0,0,0,7,0,0,15,37,24960,
G,0,0,0,0,1,3,3,0,0,0,1,1,3,3,3,3,3,3,3,0,0,3,3,0,1,2,3,3,0,0,2,3,3,0,1,3,3,0,2,2,2,3,3,1,2,2,2,2,3,3,0,1,2,2,3,3,2,2,2,2,3,3,0,0,0,0,0,3,3,0,0,0,1,2,3,3,3,0,2,2,2,2,3,3,9,0,0,0,0,0,0,0,0,0,9,0,24,8,20,24960,
H,0,2,3,3,3,0,2,2,2,2,3,3,3,3,0,0,0,3,3,1,1,2,2,2,3,3,2,2,2,3,3,1,1,3,3,0,0,1,1,2,3,3,0,0,0,0,0,3,3,3,3,3,0,0,0,0,2,3,3,0,0,0,1,1,3,3,0,1,3,3,0,0,0,0,1,3,3,1,1,1,3,3,0,0,15,0,0,0,0,0,0,0,0,0,15,0,26,13,13,24960,
I,0,3,3,0,0,0,0,0,3,3,0,0,3,3,1,2,2,2,2,3,3,1,2,2,2,2,3,3,1,1,3,3,3,3,3,3,3,3,1,2,2,2,2,3,3,0,0,0,0,0,3,3,0,0,0,2,3,3,0,0,0,0,0,3,3,0,0,1,3,3,0,2,2,2,2,3,3,3,3,0,2,2,2,2,5,0,0,0,0,0,0,0,0,0,5,0,25,6,21,24960,
J,1,1,1,2,3,3,3,3,3,3,3,0,0,1,3,3,0,0,3,3,0,0,3,3,0,0,1,1,3,3,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,1,2,3,3,0,0,0,2,3,3,3,0,2,2,2,2,3,3,0,0,1,1,2,3,3,0,0,0,0,0,3,3,0,0,3,3,1,1,2,16,0,0,0,0,0,0,0,0,0,16,0,32,11,9,24960,
K,0,0,3,3,0,0,1,3,3,2,2,2,2,2,3,3,0,0,1,3,3,1,1,1,1,2,3,3,0,0,3,3,0,1,1,2,2,3,3,3,3,3,0,0,0,1,2,3,3,0,1,1,1,2,3,3,0,0,0,3,3,0,0,1,1,3,3,1,1,1,1,3,3,0,0,3,3,3,0,0,3,3,2,2,6,0,0,0,0,0,0,0,0,0,6,0,22,18,12,24960,
L,3,2,2,2,2,3,3,0,0,0,2,2,3,3,0,0,0,0,2,3,3,3,3,0,0,0,0,0,3,3,2,2,2,3,3,0,0,0,1,1,3,3,3,3,3,3,3,2,2,2,2,3,3,0,0,0,0,3,3,0,1,3,3,1,1,1,3,3,1,2,2,2,2,3,3,0,0,0,1,2,3,3,0,1,14,0,0,0,0,0,0,0,0,0,14,0,24,9,19,24960,
