,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,4,4,4,4,4,5,5,0,0,5,5,0,0,0,4,5,5,0,0,0,1,5,5,5,0,0,0,0,1,5,5,1,1,5,5,0,4,4,5,5,1,1,5,5,5,1,1,5,5,1,1,1,5,5,0,0,0,1,5,5,0,0,0,5,5,0,4,4,5,5,5,1,4,5,5,5,5,1,1,1,1,4,5,5,12,0,0,0,0,0,0,0,0,0,12,0,
1,0,5,5,1,1,5,5,0,1,1,1,1,5,5,0,0,0,1,5,5,0,1,1,1,1,5,5,5,5,0,0,0,0,5,5,0,0,0,0,0,5,5,1,1,1,1,5,5,5,0,0,0,5,5,0,1,5,5,0,0,0,0,1,5,5,5,0,1,5,5,0,0,0,0,5,5,1,1,1,5,5,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,
2,0,0,0,0,1,5,5,0,0,0,5,5,0,0,2,5,5,5,0,0,0,0,0,5,5,0,0,0,1,5,5,0,0,5,5,5,0,0,2,2,5,5,2,2,2,2,2,5,5,5,5,5,0,0,0,0,0,5,5,0,0,5,5,0,0,0,1,5,5,5,2,2,5,5,0,0,0,1,5,5,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,
3,0,0,0,0,2,5,5,2,4,4,5,5,5,5,5,5,3,3,3,5,5,0,2,2,5,5,2,2,5,5,0,3,3,3,3,5,5,3,3,3,3,4,5,5,0,0,4,5,5,4,4,5,5,5,5,5,3,4,4,5,5,5,0,0,0,4,4,5,5,5,0,2,4,5,5,3,3,3,3,5,5,0,2,4,12,0,0,0,0,0,0,0,0,0,12,0,
4,1,1,1,1,1,5,5,0,0,0,0,5,5,0,0,0,5,5,0,0,5,5,0,0,0,1,1,5,5,1,1,5,5,5,5,0,1,1,1,1,5,5,5,5,5,5,0,0,0,0,0,5,5,0,1,5,5,0,0,0,0,5,5,0,0,0,0,0,5,5,1,1,1,1,1,5,5,5,1,1,1,1,1,5,19,0,0,0,0,0,0,0,0,0,16,3,
5,1,1,1,5,5,1,1,1,5,5,1,1,1,1,1,5,5,1,1,1,1,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,1,1,1,1,1,5,5,1,1,1,1,1,5,5,1,1,1,1,5,5,5,5,5,1,1,1,1,1,5,5,1,1,1,1,1,5,5,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,2,4,
6,2,3,3,5,5,3,3,5,5,3,3,3,5,5,2,3,3,3,3,5,5,5,0,0,1,1,1,5,5,1,3,3,3,3,5,5,0,0,0,0,5,5,0,0,3,3,5,5,5,5,3,3,5,5,5,5,2,1,3,3,3,5,5,5,0,0,0,2,5,5,0,0,0,5,5,2,3,5,5,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,6,0,
7,3,3,3,3,5,5,1,1,2,5,5,2,3,3,3,5,5,2,2,5,5,3,3,3,3,3,5,5,1,2,2,2,3,5,5,1,3,3,3,5,5,5,2,2,3,3,5,5,5,1,2,3,3,3,5,5,5,5,5,5,3,3,3,4,4,5,5,5,5,5,3,3,3,5,5,3,3,4,4,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
8,5,0,0,5,5,1,2,5,5,2,2,2,5,5,0,2,2,2,1,5,5,0,0,0,0,1,5,5,0,0,1,5,5,2,2,5,5,2,1,5,5,5,5,5,1,2,2,1,1,5,5,0,0,1,1,1,5,5,0,0,0,5,5,1,1,1,2,1,5,5,1,1,5,5,0,2,2,2,5,5,0,1,2,1,12,0,0,0,0,0,0,0,0,0,12,0,
9,1,3,3,3,4,5,5,3,3,3,3,5,5,5,3,4,4,5,5,2,2,2,2,5,5,2,3,3,3,3,5,5,5,5,5,3,3,3,4,4,5,5,5,1,4,4,4,4,5,5,3,3,5,5,3,3,3,3,5,5,5,5,5,1,3,3,5,5,2,3,5,5,1,4,4,5,5,5,2,2,5,5,3,4,22,0,0,0,0,0,0,0,0,0,22,0,
10,3,3,3,4,4,5,5,5,5,5,3,3,3,3,5,5,0,0,3,5,5,3,3,3,3,4,5,5,3,4,4,4,5,5,5,0,0,5,5,3,3,3,3,5,5,0,3,5,5,0,0,4,5,5,0,0,3,3,5,5,5,0,0,3,4,5,5,3,3,3,3,4,5,5,5,5,5,5,0,3,3,4,4,5,7,0,0,0,0,0,0,0,0,0,5,2,
