,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,3,3,2,3,5,6,6,3,3,3,3,2,6,6,2,3,3,3,3,6,6,6,6,3,3,3,6,6,5,5,5,5,4,6,6,2,2,2,2,2,6,6,3,2,2,2,2,6,6,3,2,6,6,4,4,5,4,6,6,5,5,5,5,5,6,6,2,2,2,2,6,6,3,3,3,6,6,3,2,3,5,6,6,6,6,6,6,6,6,6,6,6,6,3,2,3,6,6,2,2,3,2,2,6,6,3,2,2,6,6,4,4,4,4,5,6,6,6,6,3,3,3,6,6,2,3,2,6,6,3,3,3,2,4,6,6,3,2,2,2,2,6,6,6,4,4,4,4,4,6,6,2,2,3,6,6,3,3,3,3,3,6,6,2,3,2,2,2,6,6,3,3,3,2,3,6,6,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,39,44,19,13,55200,
B,1,3,3,4,5,6,6,1,1,1,1,6,6,4,5,4,6,6,6,6,6,1,0,1,1,1,6,6,0,3,3,3,3,6,6,0,3,3,4,4,6,6,5,5,5,6,6,3,3,3,3,3,6,6,3,3,3,3,6,6,3,3,3,6,6,6,6,6,6,1,1,1,3,3,6,6,6,0,0,6,6,3,3,3,5,6,6,0,0,4,5,6,6,6,6,3,4,6,6,4,4,5,4,6,6,5,4,4,4,4,6,6,6,6,6,0,3,3,3,5,6,6,1,3,6,6,1,5,5,5,5,6,6,3,3,3,3,4,6,6,3,5,5,5,5,6,6,3,3,3,3,3,6,6,0,0,0,0,0,6,6,1,3,6,6,3,3,3,3,6,6,3,4,4,4,6,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,18,15,0,46,18,18,55200,
C,2,2,2,3,3,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,6,0,0,0,0,6,6,3,3,3,3,2,6,6,0,3,3,2,3,6,6,2,3,3,2,2,6,6,2,2,3,2,3,6,6,6,6,6,6,6,2,3,2,4,4,6,6,2,3,3,4,4,6,6,0,0,6,6,2,2,2,2,3,6,6,0,2,2,2,2,6,6,3,3,3,6,6,2,3,2,6,6,0,0,0,0,2,6,6,2,2,2,3,2,6,6,0,2,2,3,2,6,6,2,2,2,3,3,6,6,3,2,3,6,6,2,2,2,6,6,3,3,3,2,6,6,2,3,3,3,3,6,6,0,2,2,3,3,6,6,3,2,4,6,6,3,3,3,4,4,6,6,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,13,0,24,0,44,40,7,0,55200,
D,1,3,5,4,6,6,2,3,2,2,3,6,6,6,6,6,6,6,1,1,1,3,5,6,6,2,5,4,5,5,6,6,3,3,3,2,6,6,2,3,5,5,6,6,1,2,2,6,6,6,6,6,6,6,6,6,1,1,1,1,1,6,6,1,3,3,6,6,3,3,6,6,3,4,5,5,4,6,6,1,3,5,6,6,1,1,1,1,1,6,6,3,3,5,5,4,6,6,2,2,2,3,3,6,6,3,3,3,3,6,6,2,2,4,4,6,6,5,5,5,6,6,3,2,4,4,6,6,6,3,3,2,3,5,6,6,1,3,6,6,1,5,5,5,4,6,6,2,2,2,2,4,6,6,1,1,1,1,1,6,6,1,3,3,3,3,6,6,3,4,6,6,5,5,5,5,5,6,6,2,3,2,10,0,0,0,0,0,0,0,0,0,10,0,0,25,21,33,12,24,55200,
E,1,2,3,2,2,6,6,2,2,2,3,2,6,6,0,0,0,0,0,6,6,1,2,3,2,2,6,6,2,2,2,6,6,2,2,2,2,2,6,6,6,6,1,1,1,1,1,6,6,6,2,3,2,5,6,6,2,3,6,6,0,0,0,0,3,6,6,3,2,2,3,3,6,6,2,2,2,2,3,6,6,6,6,6,2,2,2,2,3,6,6,1,1,3,6,6,2,3,2,3,3,6,6,1,1,1,1,3,6,6,3,3,3,3,3,6,6,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,3,3,3,2,6,6,2,2,2,2,2,6,6,2,2,2,6,6,3,3,3,2,6,6,3,3,2,6,6,6,1,1,1,1,2,6,6,2,2,2,3,2,6,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,10,20,54,30,0,1,55200,
F,6,1,1,3,3,3,6,6,1,1,6,6,3,3,3,3,3,6,6,3,3,4,6,6,3,3,3,3,6,6,1,1,1,1,3,6,6,6,6,6,6,6,4,4,4,4,4,6,6,1,1,1,1,1,6,6,3,3,4,4,4,6,6,6,6,6,1,1,1,1,1,6,6,1,3,3,3,3,6,6,1,3,6,6,3,3,3,3,3,6,6,1,1,1,3,4,6,6,3,3,3,3,3,6,6,4,4,4,4,4,6,6,1,1,3,3,3,6,6,3,3,6,6,1,1,1,1,6,6,3,3,6,6,6,6,6,3,3,3,3,3,6,6,1,1,4,4,4,6,6,4,4,6,6,4,4,4,4,4,6,6,1,1,4,4,6,6,1,1,3,4,6,6,4,4,4,4,4,6,6,6,1,13,0,0,0,0,0,0,0,0,0,13,0,0,36,0,46,33,0,55200,
G,0,1,1,6,6,2,2,2,6,6,3,3,3,3,3,6,6,2,2,3,2,6,6,6,6,6,6,6,6,0,1,0,0,2,6,6,1,2,6,6,3,3,3,3,3,6,6,2,3,6,6,2,3,2,6,6,2,2,2,2,3,6,6,3,3,2,5,5,6,6,3,3,3,2,2,6,6,1,2,3,3,3,6,6,3,2,2,3,3,6,6,2,2,2,3,2,6,6,1,1,0,1,1,6,6,1,1,0,0,5,6,6,1,1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,1,1,1,0,1,6,6,1,5,5,5,5,6,6,0,0,0,1,0,6,6,3,3,2,6,6,2,2,2,6,6,1,1,1,1,1,6,6,2,2,5,6,6,2,3,3,3,2,6,6,1,2,3,2,3,0,0,0,0,0,0,0,0,0,3,0,12,25,35,32,0,11,55200,
H,6,6,2,2,2,5,4,6,6,1,2,5,4,5,6,6,2,2,2,2,2,6,6,2,2,2,2,2,6,6,2,2,2,6,6,4,4,4,5,4,6,6,2,2,2,2,5,6,6,2,4,6,6,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,5,6,6,1,1,2,2,2,6,6,1,4,6,6,2,2,2,2,2,6,6,2,2,2,2,2,6,6,2,2,2,2,6,6,1,1,6,6,2,2,5,4,4,6,6,4,4,4,4,5,6,6,6,6,2,2,2,2,6,6,4,4,4,4,4,6,6,2,2,2,2,5,6,6,5,5,5,4,4,6,6,2,2,2,2,2,6,6,1,1,1,1,6,6,1,2,2,4,4,6,6,4,4,4,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,61,0,29,12,55200,
I,0,1,1,1,0,6,6,2,3,3,2,2,6,6,3,2,3,3,2,6,6,0,2,2,6,6,2,2,2,2,6,6,0,3,6,6,6,6,4,4,4,4,4,6,6,0,0,2,3,6,6,6,6,6,6,6,6,6,6,6,0,0,2,4,4,6,6,0,1,0,3,5,6,6,1,1,1,6,6,1,1,1,1,4,6,6,1,0,2,6,6,0,4,5,5,5,6,6,0,2,4,4,4,6,6,3,2,3,3,6,6,3,3,3,3,3,6,6,6,1,3,6,6,3,3,3,6,6,0,0,0,6,6,1,0,1,2,2,6,6,3,3,2,2,3,6,6,1,2,2,3,3,6,6,2,3,3,5,5,6,6,6,6,6,2,2,2,3,6,6,0,0,0,0,0,6,6,1,3,3,2,2,9,0,0,0,0,0,0,0,0,0,9,0,22,17,28,30,12,6,55200,
J,2,4,4,4,4,6,6,2,2,5,6,6,2,2,2,6,6,6,6,6,6,6,6,6,6,2,2,2,6,6,5,5,5,6,6,2,2,2,2,2,6,6,2,2,4,5,5,6,6,2,5,5,4,5,6,6,6,5,5,5,5,6,6,2,2,2,2,2,6,6,2,5,6,6,4,4,4,4,6,6,2,2,2,2,5,6,6,2,5,5,4,6,6,4,4,4,4,5,6,6,5,5,5,6,6,2,2,5,4,6,6,6,6,6,2,2,2,4,6,6,2,2,2,2,6,6,2,2,2,2,2,6,6,2,2,2,2,4,6,6,4,4,6,6,2,2,2,5,4,6,6,2,2,2,5,5,6,6,2,2,2,2,5,6,6,6,5,5,4,5,4,6,6,2,2,2,2,2,6,6,2,2,9,0,0,0,0,0,0,0,0,0,9,0,0,0,63,0,23,29,55200,
