,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,3,3,1,1,1,3,3,0,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3840,
B,2,3,3,1,1,3,3,2,2,3,3,1,2,3,3,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3360,
C,1,3,3,0,1,3,3,3,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3360,
D,3,3,0,0,3,3,3,2,2,2,3,3,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,3360,
E,3,0,0,3,3,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3360,
F,3,0,0,0,1,3,3,1,1,1,1,3,3,3,8,0,0,0,0,0,0,0,0,0,8,0,3,5,0,3840,
G,1,2,2,3,3,1,2,3,3,2,2,3,3,3,2,0,0,0,0,0,0,0,0,0,2,0,0,2,5,3360,
H,1,1,2,3,3,1,2,3,3,1,1,2,3,3,2,0,0,0,0,0,0,0,0,0,2,0,0,5,3,3840,
I,3,0,1,1,1,3,3,3,3,3,3,1,1,2,4,0,0,0,0,0,0,0,0,0,4,0,1,5,1,3360,
J,0,1,3,3,3,0,1,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3360,
K,3,1,1,3,3,3,3,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,8,0,3840,
L,1,1,1,3,3,3,3,3,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,5,4,4320,
M,3,3,1,2,3,3,3,3,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3360,
N,1,1,1,2,2,3,3,3,3,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,4,5,4320,
O,2,2,2,3,3,3,3,3,3,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,3,3,0,5,3,3840,
P,3,3,3,3,3,3,3,1,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1920,
Q,3,3,1,1,3,3,3,2,3,3,3,2,3,3,6,0,0,0,0,0,0,0,0,0,0,6,0,2,2,1920,
R,3,3,0,3,3,3,3,0,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1920,
S,0,0,0,3,3,3,3,3,3,3,3,2,3,3,4,0,0,0,0,0,0,0,0,0,4,0,3,0,1,1920,
T,0,1,3,3,3,3,3,3,0,3,3,3,0,3,6,0,0,0,0,0,0,0,0,0,6,0,3,1,0,1920,
人数違反,103,103,4,200,500,800,1000,400,204,504,102,104,100,401,
Eの勤務人数,3,4,5,3,0,2,1,2,1,1,1,1,2,1,
Dの勤務人数,5,6,7,4,5,2,1,4,8,9,6,5,5,3,
Lの勤務人数,2,2,3,2,1,0,2,3,2,2,3,6,5,4,
Eの必要人数,2,3,3,4,2,4,6,4,3,4,2,2,2,3,
Dの必要人数,3,4,5,5,5,6,5,6,4,5,5,3,6,5,
Lの必要人数,3,3,3,2,4,2,3,3,2,4,2,4,5,3,
