,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,3,0,1,3,3,0,0,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,2,3,3,3,3,0,2,2,2,3,1,0,0,0,0,0,0,0,0,0,1,0,
2,3,3,0,0,2,3,3,0,0,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
3,3,2,2,2,2,3,3,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,3,3,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
5,3,3,0,0,1,3,3,3,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,
6,2,2,2,2,3,3,3,1,1,2,3,3,1,1,4,0,0,0,0,0,0,0,0,0,4,0,
7,3,3,0,0,1,2,2,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
8,1,1,1,1,1,3,3,3,1,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
9,3,3,3,1,1,3,3,1,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,3,3,3,1,1,1,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
11,1,1,1,1,3,3,3,2,2,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
12,2,3,3,3,3,3,3,0,0,0,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,2,
13,3,1,1,1,2,3,3,3,3,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,
14,2,2,3,3,3,1,1,1,2,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
15,3,3,3,3,3,0,1,1,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
16,3,3,2,3,3,3,3,2,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
17,3,3,3,3,1,3,3,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,3,3,3,3,3,0,0,0,3,3,3,2,3,3,3,0,0,0,0,0,0,0,0,0,3,0,
19,3,3,3,0,0,1,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
人数違反,0,0,0,0,0,400,600,100,0,0,0,0,100,100,
Eの勤務人数,2,3,3,4,2,4,3,4,3,4,2,2,2,2,
Dの勤務人数,3,4,5,5,5,3,4,6,4,5,5,3,5,5,
Lの勤務人数,3,3,3,2,4,1,1,2,2,4,2,4,5,3,
Eの必要人数,2,3,3,4,2,4,6,4,3,4,2,2,2,3,
Dの必要人数,3,4,5,5,5,6,5,6,4,5,5,3,6,5,
Lの必要人数,3,3,3,2,4,2,3,3,2,4,2,4,5,3,
