,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,3,0,1,1,1,3,3,0,0,3,3,3,0,0,0,3,3,1,1,3,3,1,1,1,1,3,3,1,4,0,0,0,0,0,0,0,0,0,4,0,6,10,0,7680,
B,1,1,1,1,3,3,3,3,0,0,0,3,3,0,0,3,3,0,1,3,3,3,1,1,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,4,6,10,0,7680,
C,3,3,1,1,1,3,3,2,2,3,3,1,1,1,1,3,3,1,2,3,3,3,3,0,1,1,1,2,5,0,0,0,0,0,0,0,0,0,5,0,1,11,4,7680,
D,0,0,0,0,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,4,17,0,0,8160,
E,1,2,2,3,3,1,2,2,3,3,1,1,3,3,3,1,2,2,2,2,3,3,1,1,1,1,3,3,14,0,0,0,0,0,0,0,0,0,14,0,0,9,8,8160,
F,0,0,2,2,3,3,3,0,2,3,3,0,2,2,3,3,2,2,3,3,3,0,0,3,3,0,2,2,6,0,0,0,0,0,0,0,0,0,6,0,7,0,9,7680,
G,0,0,0,3,3,0,0,3,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,11,16,0,0,7680,
H,2,3,3,1,1,3,3,0,0,1,2,2,3,3,3,1,1,1,3,3,1,2,3,3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,2,0,2,7,7,7680,
I,3,1,1,1,3,3,3,0,0,0,1,3,3,3,0,1,3,3,3,0,1,3,3,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,6,0,5,11,0,7680,
J,1,1,1,1,1,3,3,3,3,3,1,2,2,2,2,3,3,1,2,3,3,0,2,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,8160,
K,2,3,3,3,1,1,1,1,2,3,3,3,1,1,2,2,2,2,3,3,3,1,1,1,1,3,3,3,23,0,0,0,0,0,0,0,0,0,17,6,0,10,6,7680,
L,1,3,3,3,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,0,1,1,2,2,3,3,18,0,0,0,0,0,0,0,0,0,18,0,1,13,2,7680,
M,1,1,1,3,3,3,1,1,1,2,2,3,3,3,3,1,1,3,3,3,3,3,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,9,2,5,9,2,7680,
N,2,2,2,3,3,3,1,1,1,1,2,3,3,3,1,1,3,3,3,3,3,3,0,0,0,1,1,2,11,0,0,0,0,0,0,0,0,0,11,0,3,8,5,7680,
O,0,0,0,1,1,1,3,3,3,3,0,1,1,1,1,1,3,3,3,3,3,0,0,0,1,3,3,3,8,0,0,0,0,0,0,0,0,0,8,0,7,9,0,7680,
P,3,1,2,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,1,15,0,0,0,0,0,0,0,0,0,15,0,0,4,4,3840,
Q,3,1,1,3,3,1,1,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,1,3,3,5,0,0,0,0,0,0,0,0,0,5,0,2,5,0,3360,
R,1,3,3,3,0,2,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,0,1,2,3,3,3,0,14,0,0,0,0,0,0,0,0,0,14,0,3,4,2,4320,
S,3,3,1,3,3,3,3,3,3,3,1,2,3,3,3,1,1,3,3,3,3,0,0,0,3,3,3,3,5,0,0,0,0,0,0,0,0,0,5,0,3,4,1,3840,
T,3,3,3,3,0,3,3,3,1,3,3,3,1,1,1,3,3,1,3,3,3,3,3,3,3,3,3,0,6,0,0,0,0,0,0,0,0,0,6,0,2,5,0,3360,
人数違反,0,2,104,302,300,401,600,101,202,200,104,503,201,500,201,202,3,102,600,1200,900,1,303,104,203,1,3,401,
Eの勤務人数,4,5,3,1,2,1,1,5,5,3,4,2,2,2,3,3,3,3,1,1,0,7,6,7,4,4,3,3,
Dの勤務人数,6,6,8,7,7,5,5,4,4,3,4,4,4,4,5,8,5,6,2,0,2,3,6,6,8,6,4,5,
Lの勤務人数,3,2,4,1,0,2,1,2,3,1,4,4,2,2,2,1,3,3,3,1,0,1,1,2,2,2,2,3,
Eの必要人数,4,4,4,4,3,4,4,4,4,3,2,6,4,6,5,4,3,4,4,6,6,6,4,4,5,4,2,5,
Dの必要人数,6,6,6,5,7,4,7,5,6,4,5,5,3,5,5,6,3,5,5,6,3,3,5,5,5,5,2,7,
Lの必要人数,3,1,2,1,2,3,2,2,2,2,2,1,2,2,1,2,2,2,3,2,2,1,4,3,3,2,2,2,
