,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,0,1,1,1,1,3,3,1,1,3,3,0,0,0,1,3,3,0,1,3,3,1,1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,3,3,0,1,1,1,1,3,3,3,3,0,0,0,0,0,3,3,3,3,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2,2,3,3,1,1,3,3,0,0,2,2,2,3,3,1,1,3,3,0,0,0,0,2,3,3,0,2,2,3,0,0,0,0,0,0,0,0,0,3,0,
3,3,3,0,0,3,3,3,0,0,0,0,0,3,3,0,0,3,3,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,4,
4,2,3,3,0,0,2,2,2,3,3,3,1,1,3,3,0,0,1,2,3,3,0,2,2,2,2,3,3,9,0,0,0,0,0,0,0,0,0,9,0,
5,0,0,0,0,2,3,3,2,2,3,3,0,2,2,2,2,3,3,0,0,0,0,0,3,3,3,3,3,6,0,0,0,0,0,0,0,0,0,6,0,
6,0,0,0,3,3,0,0,0,3,3,3,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,11,
7,3,0,0,0,1,3,3,0,1,3,3,0,0,1,3,3,1,1,1,1,2,3,3,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
8,1,1,3,3,1,1,1,3,3,1,1,3,3,0,0,0,0,0,3,3,3,0,0,1,1,1,3,3,4,0,0,0,0,0,0,0,0,0,4,0,
9,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,3,3,1,1,3,3,3,2,2,2,3,3,1,3,0,0,0,0,0,0,0,0,0,3,0,
10,2,3,3,3,0,0,0,1,1,3,3,3,0,0,0,1,2,2,3,3,3,0,0,0,0,3,3,3,5,0,0,0,0,0,0,0,0,0,5,0,
11,1,1,3,3,3,1,1,1,2,2,2,3,3,3,1,1,3,3,3,3,1,2,2,2,2,2,3,3,3,0,0,0,0,0,0,0,0,0,3,0,
12,0,0,1,3,3,3,3,1,1,1,1,1,3,3,3,1,1,1,1,2,2,3,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
13,1,2,2,2,2,3,3,3,0,1,3,3,3,0,1,2,2,2,3,3,3,3,3,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,5,0,
14,1,1,1,1,1,3,3,3,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,3,3,3,0,1,2,0,0,0,0,0,0,0,0,0,2,0,
15,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,1,1,1,1,1,3,3,3,3,9,0,0,0,0,0,0,0,0,0,9,0,
16,3,3,1,1,1,1,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,1,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,
17,3,3,2,2,3,3,0,3,3,0,1,3,3,3,3,3,3,3,2,2,3,3,1,3,3,3,3,0,7,0,0,0,0,0,0,0,0,0,7,0,
18,3,3,1,3,3,0,1,3,3,3,3,3,3,3,3,1,3,3,1,1,1,3,3,0,3,3,3,0,5,0,0,0,0,0,0,0,0,0,5,0,
19,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,0,0,3,3,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
人数違反,0,0,0,1,0,200,300,0,0,0,0,100,0,200,0,0,0,0,100,500,200,0,0,0,0,0,0,300,
Eの勤務人数,4,4,4,4,3,3,3,4,4,3,2,6,4,6,5,4,3,4,4,4,4,6,4,4,5,4,2,4,
Dの勤務人数,6,6,6,5,7,4,5,5,6,4,5,4,3,3,5,6,3,5,5,3,3,3,5,5,5,5,2,5,
Lの勤務人数,3,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,4,3,3,2,2,2,
Eの必要人数,4,4,4,4,3,4,4,4,4,3,2,6,4,6,5,4,3,4,4,6,6,6,4,4,5,4,2,5,
Dの必要人数,6,6,6,5,7,4,7,5,6,4,5,5,3,5,5,6,3,5,5,6,3,3,5,5,5,5,2,7,
Lの必要人数,3,1,2,1,2,3,2,2,2,2,2,1,2,2,1,2,2,2,3,2,2,1,4,3,3,2,2,2,
