,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,1,1,1,1,1,3,3,0,1,3,3,0,1,1,1,3,3,0,0,0,1,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,8640,
B,0,0,0,3,3,0,1,1,1,1,3,3,3,3,0,0,0,0,1,3,3,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,8640,
C,3,3,0,0,1,3,3,0,0,3,3,1,1,1,1,3,3,1,2,3,3,3,3,1,1,1,2,2,5,0,0,0,0,0,0,0,0,0,5,0,4,9,3,7680,
D,0,0,0,3,3,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,18,0,0,8640,
E,1,1,2,3,3,1,1,2,2,3,3,1,2,3,3,0,0,0,1,3,3,3,2,2,2,2,3,3,6,0,0,0,0,0,0,0,0,0,6,0,3,6,8,8160,
F,2,2,3,3,0,2,2,2,2,3,3,0,0,0,0,3,3,2,2,3,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,8160,
G,3,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,16,16,0,0,7680,
H,2,3,3,0,1,1,1,1,3,3,1,1,3,3,3,1,1,1,1,3,3,1,2,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,14,2,8160,
I,1,1,1,1,1,3,3,3,0,0,1,3,3,3,0,1,3,3,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,8640,
J,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,3,3,1,2,3,3,0,2,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,8160,
K,0,3,3,3,0,0,1,1,1,3,3,3,2,2,2,2,2,2,3,3,3,0,0,0,2,3,3,3,6,0,0,0,0,0,0,0,0,0,6,0,6,3,7,7680,
L,1,1,3,3,3,0,0,1,1,2,2,3,3,3,1,2,3,3,3,3,1,2,2,2,2,2,3,3,6,0,0,0,0,0,0,0,0,0,6,0,2,6,8,7680,
M,0,1,1,3,3,3,3,1,1,1,1,1,3,3,3,1,1,1,1,1,2,3,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,8640,
N,1,2,2,2,2,2,3,3,3,2,2,2,3,3,3,1,2,3,3,3,0,1,1,1,1,1,3,3,2,0,0,0,0,0,0,0,0,0,2,0,1,7,9,8160,
O,3,0,1,1,1,1,1,3,3,3,0,0,0,1,1,1,3,3,3,3,3,0,1,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,3,0,5,12,0,8160,
P,3,3,3,3,2,2,2,3,3,1,3,3,3,2,3,3,3,3,3,1,1,1,1,3,3,3,3,3,6,0,0,0,0,0,0,0,0,0,6,0,0,5,4,4320,
Q,3,3,1,1,1,1,1,3,3,3,3,3,0,1,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,0,4320,
R,2,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,3,3,3,1,3,3,1,1,3,3,3,1,11,0,0,0,0,0,0,0,0,0,11,0,4,4,1,4320,
S,3,3,3,3,3,3,0,3,3,3,3,0,3,3,3,1,1,1,1,1,3,3,3,3,0,3,3,0,2,0,0,0,0,0,0,0,0,0,2,0,4,5,0,4320,
T,3,3,3,0,3,3,3,3,1,1,1,3,3,0,0,3,3,3,3,0,0,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4320,
人数違反,0,1,0,0,0,0,200,0,0,0,0,0,0,300,0,0,0,0,0,500,200,0,0,0,0,0,0,300,
Eの勤務人数,4,4,4,4,3,4,3,4,4,3,2,6,4,3,5,4,3,4,4,5,5,6,4,4,5,4,2,4,
Dの勤務人数,6,6,6,5,7,4,6,5,6,4,5,5,3,5,5,6,3,5,5,4,3,3,5,5,5,5,2,5,
Lの勤務人数,3,2,2,1,2,3,2,2,2,2,2,1,2,2,1,2,2,2,3,0,1,1,4,3,3,2,2,2,
Eの必要人数,4,4,4,4,3,4,4,4,4,3,2,6,4,6,5,4,3,4,4,6,6,6,4,4,5,4,2,5,
Dの必要人数,6,6,6,5,7,4,7,5,6,4,5,5,3,5,5,6,3,5,5,6,3,3,5,5,5,5,2,7,
Lの必要人数,3,1,2,1,2,3,2,2,2,2,2,1,2,2,1,2,2,2,3,2,2,1,4,3,3,2,2,2,
